gamerID,serverID,clanName,firstName,lastName,DOB,gender
Groot,297217,Guardians of the Galaxy,Vin,Diesel,1967-07-18,Male
HoD_Deadeye,136193,Hunters of Destiny,Josh,Morris,1971-05-23,Male
black3fire,467457,Hunters of Destiny,Ray ,Charles,1968-05-12,Male
TDynasty11,297217,Hunters of Destiny,Allen,White,1976-08-04,Male
AboodGamerXD,274945,Hunters of Destiny,Clark,Brody,1972-06-02,Male
AceofSpates,17200,Hunters of Destiny,Nathan,Fillion,1971-03-27,Male
GoodZero,143896,Hunters of Destiny,Don,Thompson,1973-04-02,Male
Creater999,104705,Hunters of Destiny,Jackie,Llano,1980-07-25,Female
LucielFall,297217,Hunters of Destiny,Lucinda,Flores,1982-04-30,Female
teamoliver,104705,Hunters of Destiny,Oliver,Twist,1978-03-10,Male
Chickendust,13057,Hunters of Destiny,Charles,Darwin,1977-05-11,Male
Heathcliff,263681,Knights of the Blood,Akihiko,Kayaba,1995-09-23,Male
Asuna,17200,Knights of the Blood,Asuna,Yuki,2007-09-30,Female
Kirito,221441,Knights of the Blood,Kazuto,Kirigaya,2008-10-07,Male
Klein,197377,Knights of the Blood,Ryotaro,Tsuboi,1999-01-13,Male
Sinon,10497,Knights of the Blood,Shino,Asada,1999-04-14,Female
Lisbeth,419329,Knights of the Blood,Rika,Shinozaki,1998-05-17,Female
Silica,143896,Knights of the Blood,Keiko,Ayano,1998-07-09,Female
Leafa,619265,Knights of the Blood,Suguha,Kirigaya,1999-02-20,Female
PoH,221441,Laughin Coffin,Tsuyoshi,Koyama,1991-07-06,Male
Red-Eyed_Xaxa,274945,Laughin Coffin,Shouichi,Shinkawa,1996-11-13,Male
JohnnyBlack,74241,Laughin Coffin,Atsushi,Kanamoto,1992-02-05,Male
Lux,274945,Laughin Coffin,Hiyori,Kashiwazaka,1995-10-13,Female
Kuradeel,152321,Laughin Coffin,Doug,Erholtz,1998-03-15,Male
abandon_all_hope,136193,Legends of the Clans,Joe,Johnson,1985-09-24,Male
Nicholaslimo,403201,Legends of the Clans,Niko,Nicolai,1983-08-21,Male
whoaitsjoe,328449,Legends of the Clans,Joe,Albrecthsen,1988-04-15,Male
Kucamunga1,24833,Legends of the Clans,Jasmine,Murphy,1983-08-11,Female
Cruciamen,168449,PS4 Rad Raiders,John,Carter,1982-01-20,Male
Ghostdog12334,225793,PS4 Rad Raiders,Nova,Bell,1972-03-04,Female
blackhunter209,562945,PS4 Rad Raiders,Bobby,Cook,1976-04-09,Male
Ir_Anuk,628737,PS4 Rad Raiders,Emma,Swan,1989-08-04,Female
Inversus2002,205569,PS4 Rad Raiders,Aiden,Jackson,1988-09-18,Male
Guledan,361729,Shadow Forged Council,Elijah,Robinson,1976-06-15,Male
KillingJone04,104705,Shadow Forged Council,Gabriel,Gray,1985-10-11,Male
Amatiel12,554241,Shadow Forged Council,Amelia,Cox,1993-08-19,Female
ToxicDredd,143896,Shadow Forged Council,Owen,Watson,1982-05-29,Male
KillaCrota,287233,Shadow Forged Council,Killian,Jones,1973-03-14,Male
LirNir15,94465,Shadow Forged Council,Lilith,Evergreen,1981-08-19,Female
XxMrHollywood,74241,Shadow Ravens,Larry,Davis,1980-06-27,Male
SiLeNthunter,366081,Shadow Ravens,Hunter,West,1975-11-11,Male
BlasTheGoat,471297,Shadow Ravens,Isaac,Cole,1978-10-24,Male
ThunZZer,403201,Shadow Ravens,Dylan,Gibson,1980-12-31,Male
Batman,104705,Justice League,Bruce ,Wayne,1975-02-19,Male
Superman,460801,Justice League,Clark,Kent,1974-01-01,Male
WonderWoman,136193,Justice League,Diana,Prince,1977-03-16,Female
Flash,274945,Justice League,Barry,Allen,1980-12-05,Male
MartianManHunter,197377,Justice League,Jon,Jones,1800-05-03,Male
Cyborg,532481,Justice League,VIctor,Stone,1987-07-19,Male
Hawkgirl,619265,Justice League,Shiera,Hall,1982-10-28,Female
GreenLantern,225793,Justice League,Hal,Jordan,1982-04-16,Male
Aquaman,427265,Justice League,Arthur ,Curry,1968-02-23,Male
